date,mau_us,mau_row
2016-04-01,41595164,206974609
2016-05-01,47081325,232556837
2016-06-01,46116401,236435396
2016-07-01,42295252,226581104
2016-08-01,41568592,218701190
2016-09-01,45839483,225514102
2016-10-01,49746143,245343434
2016-11-01,49888875,252731325
2016-12-01,49604867,258776431
2017-01-01,47681227,253663224
2017-02-01,50213554,258866233
2017-03-01,50689043,261466222
2017-04-01,49332313,263964525
2017-05-01,48087681,255445989
2017-06-01,45602654,255144266
2017-07-01,42929535,246689541
2017-08-01,41915143,237804363
2017-09-01,43647488,236205527
2017-10-01,45318441,252648832
2017-11-01,45510204,255362790
2017-12-01,45318652,260549581
2018-01-01,42765611,248047538
2018-02-01,44848688,253694252
2018-03-01,44354322,249200558
2018-04-01,43054040,250138884
2018-05-01,42827332,246840431
2018-06-01,40465817,242428907
2018-07-01,37679319,236583037
2018-08-01,36243492,223552371
2018-09-01,38092397,220689498
2018-10-01,40610907,238215233
2018-11-01,40183750,238388768
2018-12-01,39111104,239414941
2019-01-01,36907452,227145480
2019-02-01,38854927,231649659
2019-03-01,39039908,230256261
2019-04-01,38173520,232253405
2019-05-01,37324864,221561959
2019-06-01,32010070,202153637
2019-07-01,33707838,216371875
2019-08-01,33008203,206907956
2019-09-01,35423472,206535827
2019-10-01,36735008,220234056
2019-11-01,36507450,219499555
