date,mau_us,mau_row
2016-03-12,13802422,68060576
2016-03-13,17095387,87154995
2016-03-14,23472100,119348677
2016-03-15,25961780,131711875
2016-03-16,27645366,140264222
2016-03-17,28976236,146791240
2016-03-18,30032723,152079919
2016-03-19,30688719,155882534
2016-03-20,31289573,159327613
2016-03-21,32447673,163969906
2016-03-22,33376048,167971249
2016-03-23,34178519,171468751
2016-03-24,34900205,174540096
2016-03-25,35449859,177187920
2016-03-26,36566134,183314440
2016-03-27,37351640,187140422
2016-03-28,38600080,192149329
2016-03-29,39472902,196900998
2016-03-30,40226641,200532502
2016-03-31,40944480,203880382
2016-04-01,41595164,206974609
2016-04-02,41978936,209341593
2016-04-03,42335899,211446473
2016-04-04,43045828,214519731
2016-04-05,43629180,217080633
2016-04-06,44159728,219432803
2016-04-07,44672124,221664799
2016-04-08,45156847,223808589
2016-04-09,45246696,224318173
2016-04-10,45304844,224620214
2016-04-11,45485225,225220549
2016-04-12,45634719,225689206
2016-04-13,45767200,226123874
2016-04-14,45903989,226472253
2016-04-15,45991556,226776703
2016-04-16,46031683,227074832
2016-04-17,46057375,227290769
2016-04-18,46188153,227820639
2016-04-19,46299022,228305593
2016-04-20,46396709,228771264
2016-04-21,46494954,229224673
2016-04-22,46624082,229765208
2016-04-23,46650371,230228507
2016-04-24,46684103,230596377
2016-04-25,46804698,231307573
2016-04-26,46921737,231761176
2016-04-27,47019465,232155878
2016-04-28,47068322,232338574
2016-04-29,47082713,232444092
2016-04-30,47082871,232545218
2016-05-01,47081325,232556837
2016-05-02,47128596,232595933
2016-05-03,47237750,233117441
2016-05-04,47370518,233692947
2016-05-05,47470979,233962979
2016-05-06,47526596,234232004
2016-05-07,47504064,234330016
2016-05-08,47462879,234336682
2016-05-09,47503414,234704570
2016-05-10,47535405,235072825
2016-05-11,47534079,235354692
2016-05-12,47528540,235703624
2016-05-13,47521444,235951316
2016-05-14,47522067,236147533
2016-05-15,47515895,236242947
2016-05-16,47550047,236432116
2016-05-17,47576518,236799928
2016-05-18,47583113,237099494
2016-05-19,47566129,237442750
2016-05-20,47535648,237646571
2016-05-21,47534610,237741416
2016-05-22,47524404,237697878
2016-05-23,47523341,237962933
2016-05-24,47498255,238168272
2016-05-25,47440092,238272434
2016-05-26,47351331,238208979
2016-05-27,47231346,238139076
2016-05-28,47186736,238185080
2016-05-29,47109083,238258686
2016-05-30,46812644,238665874
2016-05-31,46737415,238897421
2016-06-01,46116401,236435396
2016-06-02,46170028,237608651
2016-06-03,46090534,238008648
2016-06-04,46087063,238141625
2016-06-05,45794579,236398394
2016-06-06,45826814,237084773
2016-06-07,45759644,237275501
2016-06-08,45665086,237407597
2016-06-09,45471018,236920624
2016-06-10,45268290,236396535
2016-06-11,45201275,236084914
2016-06-12,45125328,235820933
2016-06-13,44971989,235575833
2016-06-14,44767227,235164433
2016-06-15,44552156,234743850
2016-06-16,44315995,234248517
2016-06-17,44061038,233729089
2016-06-18,43982340,233453456
2016-06-19,43900231,233099487
2016-06-20,43709379,232591588
2016-06-21,43487366,231954516
2016-06-22,43240088,231285286
2016-06-23,42978420,230639827
2016-06-24,42731721,229887679
2016-06-25,42667461,229453321
2016-06-26,42619389,228839533
2016-06-27,42701759,227875573
2016-06-28,42342373,226245695
2016-06-29,42786677,228535511
2016-06-30,42544481,227610508
2016-07-01,42295252,226581104
2016-07-02,42092673,225587074
2016-07-03,42320125,227192641
2016-07-04,41926578,226141005
2016-07-05,41644103,224700735
2016-07-06,41107489,221787874
2016-07-07,41076049,221601087
2016-07-08,41024382,221406103
2016-07-09,41028839,221382488
2016-07-10,41027809,221227089
2016-07-11,41040674,221155183
2016-07-12,41044256,221038843
2016-07-13,41021315,220877800
2016-07-14,40996879,220673641
2016-07-15,40972123,220425758
2016-07-16,40977320,220445798
2016-07-17,40984777,220367387
2016-07-18,41024152,220231279
2016-07-19,41044551,220035040
2016-07-20,41055119,219841429
2016-07-21,41065966,219664888
2016-07-22,41065887,219515993
2016-07-23,41077633,219554394
2016-07-24,41083619,219529337
2016-07-25,41136700,219452121
2016-07-26,41165645,219351531
2016-07-27,41188630,219105714
2016-07-28,41196654,218638678
2016-07-29,41218980,218399673
2016-07-30,41259452,218439842
2016-07-31,41304328,218485700
2016-08-01,41568592,218701190
2016-08-02,41678789,218825003
2016-08-03,41753857,219105887
2016-08-04,41813656,219254013
2016-08-05,41852456,219242063
2016-08-06,41866963,219394763
2016-08-07,41879476,219443012
2016-08-08,41999119,219661574
2016-08-09,42092673,219763853
2016-08-10,42166448,219793831
2016-08-11,42244960,219830307
2016-08-12,42321359,219784529
2016-08-13,42353516,219909677
2016-08-14,42380230,219937253
2016-08-15,42548591,219993577
2016-08-16,42718488,220251956
2016-08-17,42875602,220430110
2016-08-18,43019326,220523265
2016-08-19,43141305,220533159
2016-08-20,43174297,220707405
2016-08-21,43213072,220843957
2016-08-22,43490011,221303311
2016-08-23,43760091,221663016
2016-08-24,44023473,221917694
2016-08-25,44267246,222066242
2016-08-26,44446033,221927608
2016-08-27,44479212,222098859
2016-08-28,44522181,222217904
2016-08-29,44840972,222932201
2016-08-30,45147989,223541250
2016-08-31,45501840,224442247
2016-09-01,45839483,225514102
2016-09-02,46036813,226300060
2016-09-03,46088227,226748909
