date,adi
2014-01-01,97195608
2014-02-01,87755665
2014-03-01,107716145
2014-04-01,142373583
2014-05-01,107654634
2014-06-01,99365641
2014-07-01,132985983
2014-08-01,116099030
2014-09-01,130622000
2014-10-01,139831670
2014-11-01,99585605
2014-12-01,144812281
2015-01-01,85005423
2015-02-01,97907988
2015-03-01,97236915
2015-04-01,130741329
2015-05-01,98219375
2015-06-01,131360871
2015-07-01,123490253
2015-08-01,82793166
2015-09-01,127815039
2015-10-01,129261472
2015-11-01,89595678
2015-12-01,135774148
2016-01-01,75723856
2016-02-01,134340470
2016-03-01,135524036
2016-04-01,122984982
2016-05-01,85254048
2016-06-01,127396127
2016-07-01,109747030
2016-08-01,115811144
2016-09-01,119553881
2016-10-01,82554748
2016-11-01,115949609
2016-12-01,126310669
2017-01-01,70918502
2017-02-01,122250662
2017-03-01,124465292
2017-04-01,83477672
2017-05-01,90691638
2017-06-01,114406993
2017-07-01,74598292
2017-08-01,109454720
2017-09-01,100552758
2017-10-01,73568817
2017-11-01,104579482
2017-12-01,104378422
2018-01-01,64180871
2018-02-01,110685571
2018-03-01,108900822
2018-04-01,62842848
2018-05-01,78299216
2018-06-01,92009008
2018-07-01,65349736
2018-08-01,99640408
2018-09-01,67329014
2018-10-01,108972336
2018-11-01,96657101
2018-12-01,71180506
2019-01-01,59269466
2019-02-01,100285517
2019-03-01,100478672
2019-04-01,108913508
2019-05-01,75852964
2019-06-01,62572341
2019-07-01,99372649
