date,adi
2014-01-01,130693951
2014-02-01,133058032
2014-03-01,129728499
2014-04-01,123397139
2014-05-01,122284463
2014-06-01,122727367
2014-07-01,117648671
2014-08-01,113055174
2014-09-01,128300030
2014-10-01,127290013
2014-11-01,126618889
2014-12-01,119337186
2015-01-01,121065341
2015-02-01,122516452
2015-03-01,123148135
2015-04-01,119831659
2015-05-01,116281291
2015-06-01,115796604
2015-07-01,108428678
2015-08-01,106336292
2015-09-01,116633363
2015-10-01,117600577
2015-11-01,117848692
2015-12-01,111508323
2016-01-01,114083418
2016-02-01,118251455
2016-03-01,117924606
2016-04-01,117903158
2016-05-01,113958798
2016-06-01,111593170
2016-07-01,101567412
2016-08-01,104868419
2016-09-01,110475777
2016-10-01,110313972
2016-11-01,114160062
2016-12-01,105461254
2017-01-01,109109997
2017-02-01,111309674
2017-03-01,111797295
2017-04-01,105023024
2017-05-01,105715524
2017-06-01,102763363
2017-07-01,95366293
2017-08-01,98433427
2017-09-01,101317190
2017-10-01,101765743
2017-11-01,102874354
2017-12-01,92440892
2018-01-01,97308193
2018-02-01,96011894
2018-03-01,96123197
2018-04-01,93400483
2018-05-01,91056764
2018-06-01,90233522
2018-07-01,88636365
2018-08-01,89851408
2018-09-01,93162271
2018-10-01,97185646
2018-11-01,96658847
2018-12-01,88097377
2019-01-01,94846738
2019-02-01,94411795
2019-03-01,93275143
2019-04-01,91797982
2019-05-01,91173683
2019-06-01,85861270
