date,adi
2014-01-01,97195608
2014-01-02,126937572
2014-01-03,124802274
2014-01-04,107378348
2014-01-05,105145501
2014-01-06,134765535
2014-01-07,132820111
2014-01-08,142962203
2014-01-09,144468980
2014-01-10,138372696
2014-01-11,109033510
2014-01-12,107637345
2014-01-13,129987549
2014-01-14,144096925
2014-01-15,146252851
2014-01-16,145367380
2014-01-17,138343758
2014-01-18,108733775
2014-01-19,107374578
2014-01-20,144975921
2014-01-21,147828923
2014-01-22,146884600
2014-01-23,146106374
2014-01-24,139313337
2014-01-25,109650012
2014-01-26,108770644
2014-01-27,148610709
2014-01-28,147518715
2014-01-29,141648875
2014-01-30,143501692
2014-01-31,135026201
2014-02-01,87755665
2014-02-02,100826278
2014-02-03,145590034
2014-02-04,140162827
2014-02-05,139198022
2014-02-06,145845879
2014-02-07,138995401
2014-02-08,110074627
2014-02-09,109104883
2014-02-10,149671439
2014-02-11,148194518
2014-02-12,147618121
2014-02-13,145429489
2014-02-14,135907642
2014-02-15,107918532
2014-02-16,107079178
2014-02-17,144562035
2014-02-18,147248374
2014-02-19,146518595
2014-02-20,145335164
2014-02-21,138664253
2014-02-22,108574175
2014-02-23,107462604
2014-02-24,149102563
2014-02-25,148666680
2014-02-26,147488878
2014-02-27,144706897
2014-02-28,137922169
2014-03-01,107716145
2014-03-02,106548339
2014-03-03,141513288
2014-03-04,142316167
2014-03-05,145246365
2014-03-06,115847465
2014-03-07,124240891
2014-03-08,106262920
2014-03-09,105767984
2014-03-10,141065817
2014-03-11,146649556
2014-03-12,145470168
2014-03-13,144075548
2014-03-14,136335415
2014-03-15,107141733
2014-03-16,106973336
2014-03-17,145614082
2014-03-18,146882107
2014-03-19,145350847
2014-03-20,143134605
2014-03-21,135291830
2014-03-22,105839627
2014-03-23,106654139
2014-03-24,146388655
2014-03-25,146746101
2014-03-26,145162288
2014-03-27,143614663
2014-03-28,136033576
2014-03-29,104524337
2014-03-30,102811328
2014-03-31,144364149
2014-04-01,142373583
2014-04-02,135966095
2014-04-03,135820657
2014-04-04,109479141
2014-04-05,71772479
2014-04-06,87433298
2014-04-07,122847701
2014-04-08,145419116
2014-04-09,141860057
2014-04-10,142261050
2014-04-11,134767848
2014-04-12,102855702
2014-04-13,102508501
2014-04-14,141624714
2014-04-15,141342162
2014-04-16,138002727
2014-04-17,129690311
2014-04-18,112069929
2014-04-19,97449794
2014-04-20,92983199
2014-04-21,123793078
2014-04-22,138261633
2014-04-23,125919472
2014-04-24,124245446
2014-04-25,129686843
2014-04-26,103443791
2014-04-27,103590407
2014-04-28,144675644
2014-04-29,144311984
2014-04-30,135457824
2014-05-01,107654634
2014-05-02,121352078
2014-05-03,102172556
2014-05-04,102951460
2014-05-05,143067844
2014-05-06,144045022
2014-05-07,143527667
2014-05-08,129463982
2014-05-09,96980906
2014-05-10,91046729
2014-05-11,97110189
2014-05-12,141204158
2014-05-13,144186418
2014-05-14,143157976
2014-05-15,132168875
2014-05-16,133522767
2014-05-17,100591115
2014-05-18,100432611
2014-05-19,142542559
2014-05-20,142986078
2014-05-21,141406560
2014-05-22,140302260
2014-05-23,132170458
2014-05-24,99172193
2014-05-25,98361486
2014-05-26,135745267
2014-05-27,124109168
2014-05-28,103871379
2014-05-29,126604492
2014-05-30,129527938
2014-05-31,99381540
2014-06-01,99365641
2014-06-02,139949676
2014-06-03,141974108
2014-06-04,140084094
2014-06-05,136621017
2014-06-06,128844211
2014-06-07,93446023
2014-06-08,95201714
2014-06-09,132085704
2014-06-10,140066034
2014-06-11,137974376
2014-06-12,132511226
2014-06-13,125867163
2014-06-14,97844382
2014-06-15,97646492
2014-06-16,138320407
2014-06-17,136891389
2014-06-18,134815191
2014-06-19,128137607
2014-06-20,124187206
2014-06-21,95986611
2014-06-22,96528011
2014-06-23,135132605
2014-06-24,134844501
2014-06-25,134767543
2014-06-26,132143808
2014-06-27,124702271
2014-06-28,95339230
2014-06-29,96249630
2014-06-30,134293150
2014-07-01,132985983
2014-07-02,132297425
2014-07-03,129533778
2014-07-04,115812974
2014-07-05,94270740
2014-07-06,93521514
2014-07-07,133025663
2014-07-08,133122242
2014-07-09,130246346
2014-07-10,130665372
2014-07-11,122847321
2014-07-12,94620089
2014-07-13,92978503
2014-07-14,130223163
2014-07-15,130470470
2014-07-16,128311434
2014-07-17,126950113
2014-07-18,119608103
2014-07-19,91505244
2014-07-20,92099014
2014-07-21,128217377
2014-07-22,128006873
2014-07-23,126286896
2014-07-24,125058777
2014-07-25,117366491
2014-07-26,89065526
2014-07-27,88764834
2014-07-28,121424760
2014-07-29,121163172
2014-07-30,123428553
2014-07-31,123230063
2014-08-01,116099030
2014-08-02,90551883
2014-08-03,90423245
2014-08-04,126138054
2014-08-05,124714325
2014-08-06,118315417
2014-08-07,111407622
2014-08-08,105081839
2014-08-09,84432703
2014-08-10,78737067
2014-08-11,107241665
2014-08-12,116891238
2014-08-13,127317295
2014-08-14,124344966
2014-08-15,111979713
2014-08-16,93055438
2014-08-17,92764323
2014-08-18,129141445
2014-08-19,130468410
2014-08-20,129469372
2014-08-21,129195111
2014-08-22,123136265
2014-08-23,95301583
2014-08-24,95253760
2014-08-25,133530170
2014-08-26,135373249
2014-08-27,133871531
2014-08-28,132449599
2014-08-29,124209666
2014-08-30,96638531
2014-08-31,97175881
2014-09-01,130622000
2014-09-02,138483522
2014-09-03,138503253
2014-09-04,137850895
2014-09-05,130182909
2014-09-06,97616685
2014-09-07,100219936
2014-09-08,141017260
2014-09-09,140968118
2014-09-10,141742504
2014-09-11,136919745
2014-09-12,132680504
2014-09-13,100427487
2014-09-14,100651459
2014-09-15,142279723
2014-09-16,141094538
2014-09-17,140834261
2014-09-18,139841683
2014-09-19,131982220
2014-09-20,100373262
2014-09-21,101333405
2014-09-22,143951368
2014-09-23,142365450
2014-09-24,141004514
2014-09-25,138668275
2014-09-26,132178572
2014-09-27,99492668
2014-09-28,100352662
2014-09-29,142177478
2014-09-30,143184567
2014-10-01,139831670
2014-10-02,135891334
2014-10-03,125040204
2014-10-04,96424022
2014-10-05,97248707
2014-10-06,133733099
2014-10-07,128506805
2014-10-08,140637584
2014-10-09,139627087
2014-10-10,131519442
2014-10-11,100009150
2014-10-12,99264483
2014-10-13,140127508
2014-10-14,141687546
2014-10-15,139968639
2014-10-16,140570364
2014-10-17,132513412
2014-10-18,99681703
2014-10-19,99536147
2014-10-20,143008661
2014-10-21,142660476
2014-10-22,140029344
2014-10-23,136787417
2014-10-24,129585379
2014-10-25,98756061
2014-10-26,100005888
2014-10-27,142530857
2014-10-28,141344755
2014-10-29,140977113
2014-10-30,139314609
2014-10-31,129170940
2014-11-01,99585605
2014-11-02,101024206
2014-11-03,140926141
2014-11-04,141119309
2014-11-05,143655365
2014-11-06,141641761
2014-11-07,134164924
2014-11-08,101247498
2014-11-09,101621965
2014-11-10,142911232
2014-11-11,139150473
2014-11-12,143980791
2014-11-13,142163392
2014-11-14,134519466
2014-11-15,101041715
2014-11-16,101812639
2014-11-17,143912299
2014-11-18,144489846
2014-11-19,142602693
2014-11-20,140483731
2014-11-21,133019214
2014-11-22,100723178
2014-11-23,100904963
2014-11-24,142984329
2014-11-25,142686694
2014-11-26,138303033
2014-11-27,130500745
2014-11-28,126183296
2014-11-29,99880478
2014-11-30,101325691
2014-12-01,144812281
2014-12-02,144272954
2014-12-03,142242877
2014-12-04,140702613
2014-12-05,132363981
2014-12-06,100132790
2014-12-07,99799074
2014-12-08,138865599
2014-12-09,143124468
2014-12-10,140390521
2014-12-11,139282271
2014-12-12,130846724
2014-12-13,98470764
2014-12-14,98906967
2014-12-15,141145656
2014-12-16,139225616
2014-12-17,136913505
2014-12-18,134325266
2014-12-19,125797382
2014-12-20,96512999
2014-12-21,93023269
2014-12-22,125200477
2014-12-23,118575783
2014-12-24,100323973
2014-12-25,86799533
2014-12-26,98709306
2014-12-27,92173132
2014-12-28,89800628
2014-12-29,116827798
2014-12-30,113615422
2014-12-31,96269167
2015-01-01,85005423
2015-01-02,103520234
2015-01-03,93756958
2015-01-04,94913822
2015-01-05,129268454
2015-01-06,126701049
2015-01-07,131776685
2015-01-08,132830625
2015-01-09,127332900
2015-01-10,99000553
2015-01-11,97202269
2015-01-12,138592943
2015-01-13,138589247
