"Date","IE","Chrome","Firefox","Safari","Edge","Opera","360 Safe Browser","Sony PS3","Mozilla","AOL","Maxthon","Chromium","Android","Silk","Phantom","SeaMonkey","Pale Moon","QQ Browser","Coc Coc","TheWorld","Tencent Traveler","RockMelt","Iron","Camino","Yandex Browser","AppleWebKit","Sogou Explorer","Flock","Other"
2009-01-01,73.55,1.04,19.39,4.61,0,0.38,0,0.13,0.18,0.53,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.13
2009-02-01,70.63,1.22,21.69,4.99,0,0.41,0,0.13,0.19,0.54,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.12
2009-03-01,65.78,1.5,25.28,5.76,0,0.46,0,0.18,0.21,0.59,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0.14
2009-04-01,62.07,1.95,28.03,6.12,0,0.54,0,0.23,0.25,0.58,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0.13
2009-05-01,63.44,2.16,26.77,5.81,0,0.5,0,0.22,0.36,0.52,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.02,0,0.03,0.12
2009-06-01,56.18,2.81,31.5,7.22,0,0.61,0,0.3,0.51,0.59,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.05,0.15
2009-07-01,56.19,3.06,31.17,7.47,0,0.65,0,0.37,0.32,0.57,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.1
2009-08-01,55.61,3.35,31.21,7.78,0,0.64,0,0.41,0.34,0.52,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0.08
2009-09-01,54.94,3.65,31.58,7.79,0,0.72,0,0.32,0.37,0.49,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0.07
2009-10-01,54.68,4.11,31.25,8.07,0,0.66,0,0.33,0.33,0.43,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0.06
2009-11-01,53.3,4.47,31.46,8.69,0,0.71,0,0.36,0.47,0.41,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0.02,0.06
