"Date","Chrome","IE","Firefox","Safari","Opera","Edge","Yandex Browser","Maxthon","360 Safe Browser","Sogou Explorer","Chromium","UC Browser","Coc Coc","Mozilla","QQ Browser","Sony PS3","Android","AOL","SeaMonkey","Pale Moon","RockMelt","Phantom","Iron","TheWorld","Flock","Other"
2016-08,62.3,10.73,15.31,4.64,1.79,3.11,0.46,0.19,0.17,0.17,0.15,0.21,0.36,0.04,0.12,0,0,0,0.02,0.03,0,0.04,0.01,0.01,0,0.14
2016-09,62.62,10.73,15,4.75,1.75,3.01,0.49,0.18,0.18,0.16,0.16,0.19,0.39,0.04,0.11,0,0,0,0.02,0.03,0,0.04,0.01,0.01,0,0.13
2016-10,63.19,9.73,14.59,5.29,2,3.06,0.48,0.19,0.12,0.15,0.17,0.25,0.37,0.05,0.1,0,0,0,0.03,0.04,0,0.03,0.02,0.01,0,0.15
2016-11,63.11,9.64,14.89,5.19,1.89,3.19,0.49,0.16,0.12,0.14,0.19,0.21,0.37,0.05,0.09,0,0,0,0.02,0.03,0,0.04,0.01,0.01,0,0.13
2016-12,62.66,9.86,14.95,5.1,1.8,3.37,0.52,0.16,0.15,0.15,0.21,0.28,0.43,0.04,0.1,0,0,0,0.02,0.03,0,0.03,0,0.01,0,0.13
2017-01,62.09,10.49,14.85,5.28,1.66,3.58,0.5,0.16,0.14,0.14,0.2,0.23,0.32,0.04,0.11,0,0,0,0.02,0.03,0,0.04,0,0.01,0,0.12
2017-02,62.95,9.62,14.81,5.34,1.6,3.68,0.5,0.16,0.12,0.16,0.18,0.24,0.29,0.04,0.11,0,0,0,0.02,0.02,0,0.03,0,0.01,0,0.11
2017-03,62.81,9.39,14.97,5.28,1.93,3.64,0.51,0.14,0.09,0.15,0.19,0.2,0.34,0.04,0.11,0,0,0,0.03,0.03,0,0.05,0,0.01,0,0.1
2017-04,63.45,9,14.53,5.2,2.08,3.71,0.56,0.14,0.09,0.15,0.16,0.26,0.31,0.04,0.11,0,0,0,0.02,0.02,0,0.05,0,0.01,0,0.1
2017-05,63.36,9.2,14.17,5.25,2.12,3.74,0.52,0.15,0.12,0.16,0.17,0.32,0.36,0.04,0.12,0,0,0,0.02,0.02,0,0.03,0,0.01,0,0.12
2017-06,63.23,9.28,13.98,5.15,2.22,3.89,0.51,0.15,0.13,0.18,0.16,0.34,0.37,0.04,0.14,0,0,0,0.02,0.03,0,0.04,0,0.01,0,0.12
2017-07,63.48,9.03,13.82,5.04,2.25,3.95,0.59,0.16,0.19,0.19,0.18,0.32,0.35,0.04,0.19,0,0,0,0.02,0.03,0,0.04,0,0.01,0,0.13
2017-08,63.58,8.61,13.73,5.51,2.36,3.95,0.52,0.15,0.12,0.17,0.16,0.31,0.37,0.04,0.15,0,0,0,0.02,0.04,0,0.05,0.01,0.01,0,0.14
2017-09,63.98,8.21,13.6,5.46,2.29,4.3,0.49,0.14,0.09,0.16,0.15,0.46,0.23,0.04,0.13,0,0,0,0.03,0.04,0,0.08,0,0.01,0,0.12
2017-10,63.6,8.34,13.04,5.89,2.23,4.43,0.49,0.12,0.1,0.13,0.15,0.78,0.23,0.04,0.15,0,0,0,0.03,0.05,0,0.06,0,0,0,0.12
2017-11,64.02,8.47,12.55,6.08,2.17,4.29,0.49,0.11,0.07,0.13,0.14,0.79,0.25,0.03,0.15,0,0,0,0.02,0.04,0,0.06,0,0,0,0.13
2017-12,64.72,7.71,12.21,6.29,2.31,4.18,0.53,0.12,0.06,0.12,0.13,0.9,0.24,0.03,0.19,0,0,0,0.02,0.03,0,0.08,0,0,0,0.12
2018-01,65.98,7.28,11.87,5.87,2.35,4.11,0.52,0.12,0.06,0.12,0.13,0.87,0.22,0.03,0.2,0,0,0,0.03,0.04,0,0.06,0.01,0,0,0.11
2018-02,67.49,6.91,11.54,5.42,2.24,4.04,0.53,0.11,0.05,0.11,0.12,0.86,0.15,0.03,0.18,0,0,0,0.02,0.03,0,0.06,0,0,0,0.11
2018-03,66.93,7.02,11.6,5.37,2.29,4.18,0.52,0.12,0.05,0.15,0.13,0.88,0.23,0.03,0.27,0,0,0,0.01,0.02,0,0.06,0,0,0,0.13
2018-04,66.17,7.17,11.78,5.48,2.33,4.26,0.45,0.15,0.06,0.19,0.14,0.85,0.31,0.03,0.38,0,0,0,0.01,0.03,0,0.06,0,0,0,0.15
2018-05,66.93,6.97,11.55,5.48,2.36,4.15,0.43,0.11,0.04,0.13,0.15,0.88,0.3,0.03,0.21,0,0,0,0.01,0.04,0,0.07,0,0,0,0.15
2018-06,66.87,7.13,11.44,5.38,2.47,4.16,0.41,0.1,0.05,0.14,0.15,0.92,0.29,0.04,0.23,0,0,0,0.01,0.03,0,0.05,0,0,0,0.14
2018-07,67.6,6.97,11.23,5.01,2.48,4.19,0.4,0.1,0.05,0.13,0.16,0.92,0.25,0.04,0.23,0,0,0,0.01,0.03,0,0.06,0,0,0,0.15
2018-08,67.66,6.97,10.96,5.13,2.48,4.24,0.39,0.1,0.17,0.12,0.17,0.89,0.24,0.04,0.2,0,0,0,0.01,0.02,0,0.04,0,0.01,0,0.14
2018-09,67.88,6.45,10.94,5.58,2.44,4.36,0.42,0.1,0.06,0.11,0.16,0.88,0.23,0.05,0.14,0,0,0,0.01,0.02,0,0,0,0,0,0.13
2018-10,69.64,6.01,10.14,5.61,2.29,4.21,0.41,0.08,0.03,0.1,0.16,0.73,0.22,0.06,0.13,0,0,0,0.01,0.02,0,0,0,0,0,0.13
2018-11,72.38,5.38,9.1,5.06,2.18,4,0.39,0.08,0.02,0.14,0.15,0.55,0.2,0.05,0.13,0,0,0,0.01,0.02,0,0,0,0,0,0.14
2018-12,70.95,5.4,10.05,5.06,2.38,4.17,0.43,0.08,0.03,0.11,0.18,0.55,0.23,0.05,0.15,0,0,0,0.01,0.02,0,0,0,0,0,0.14
2019-01,70.88,5.74,9.5,5.15,2.37,4.41,0.42,0.09,0.07,0.16,0.
