day,mau
2016-08-01,260337696
2016-08-02,260572069
2016-08-03,260928305
2016-08-04,261136563
2016-08-05,261163368
2016-08-06,261330078
2016-08-07,261390745
2016-08-08,261729489
2016-08-09,261925155
2016-08-10,262028336
2016-08-11,262143333
2016-08-12,262173821
2016-08-13,262330586
2016-08-14,262384332
2016-08-15,262609206
2016-08-16,263037370
2016-08-17,263372777
2016-08-18,263609986
2016-08-19,263742011
2016-08-20,263948877
2016-08-21,264123874
2016-08-22,264861200
2016-08-23,265491490
2016-08-24,266009173
2016-08-25,266401253
2016-08-26,266441077
2016-08-27,266644818
2016-08-28,266806410
2016-08-29,267841247
2016-08-30,268758333
2016-08-31,270013827
2016-09-01,271424092
2016-09-02,272408413
2016-09-03,272908234
2016-09-04,273396953
2016-09-05,274522290
2016-09-06,275851430
2016-09-07,276841497
2016-09-08,277883469
2016-09-09,278704649
2016-09-10,279151979
2016-09-11,279536268
2016-09-12,280736367
2016-09-13,281876313
2016-09-14,282979398
2016-09-15,283918780
2016-09-16,284634480
2016-09-17,285103130
2016-09-18,285591174
2016-09-19,286752197
2016-09-20,287863070
2016-09-21,288866667
2016-09-22,289771187
2016-09-23,290487806
2016-09-24,290958151
2016-09-25,291285005
2016-09-26,292190575
2016-09-27,293051013
2016-09-28,293625475
2016-09-29,294245582
2016-09-30,294751217
2016-10-01,295172158
2016-10-02,295424308
2016-10-03,296323314
2016-10-04,296946552
2016-10-05,297504361
2016-10-06,297943832
2016-10-07,298194520
2016-10-08,298582740
2016-10-09,298895353
2016-10-10,299407734
2016-10-11,299821674
2016-10-12,299997567
2016-10-13,300538208
2016-10-14,300938981
2016-10-15,301191087
2016-10-16,301164845
2016-10-17,301622801
2016-10-18,302030488
2016-10-19,302332804
2016-10-20,302520817
2016-10-21,302636350
2016-10-22,302798143
2016-10-23,302859038
2016-10-24,303042897
2016-10-25,303173817
2016-10-26,303270985
2016-10-27,303187564
2016-10-28,302898505
2016-10-29,302905902
2016-10-30,302854726
2016-10-31,302837599
2016-11-01,302709275
2016-11-02,302776501
2016-11-03,303013534
2016-11-04,303195123
2016-11-05,303306062
2016-11-06,303323566
2016-11-07,303827540
2016-11-08,304151037
2016-11-09,304434939
2016-11-10,304498022
2016-11-11,304180366
2016-11-12,304211938
2016-11-13,304197146
2016-11-14,304325314
2016-11-15,304399964
2016-11-16,304513452
2016-11-17,304687664
2016-11-18,304719701
2016-11-19,304799941
2016-11-20,304744846
2016-11-21,304981212
2016-11-22,305113847
2016-11-23,305018412
2016-11-24,304770145
2016-11-25,304618906
2016-11-26,304750490
2016-11-27,305261449
2016-11-28,306438341
2016-11-29,307367446
2016-11-30,308006416
2016-12-01,308482302
2016-12-02,308772474
2016-12-03,309000177
2016-12-04,309017173
2016-12-05,309403784
2016-12-06,309716844
2016-12-07,309929563
2016-12-08,309904826
2016-12-09,310236080
2016-12-10,310382575
2016-12-11,310388266
2016-12-12,310657251
2016-12-13,310921572
2016-12-14,311051010
2016-12-15,311151179
2016-12-16,311087848
2016-12-17,311109408
2016-12-18,311013940
